AREA,BA,BA_DIV_BB,BB,BF_ID,BF_TYPE,BLANK_TYPE,BM,BREADTH,BREADTH_DIV_LENGTH,BUTT_TYPE,BUTT_WORKING,CIRCUMFERENCE,COMPLETENESS,CONDITION,CONTEXT_LEVEL,CONTINENT,CORTEX_BACK,CORTEX_FRONT,CORTEX_TYPE,COUNTRY,DATE_FOUND,DEGREE_PATINATION,EDGE_PROFILE,EDGE_VIEW_AREA,EDGE_VIEW_CIRCUMFERENCE,EDGE_VIEW_L1,EDGE_VIEW_SYMMETRY,EDGE_VIEW_THICKNESS_L1,FINDER,FINDERS_NO,FRONTAL_SYMMETRY,L1,L1_BREADTH,L1_DIV_LENGTH,LENGTH,MUSEUM_ACCESSION_DATE,MUSEUM_ACCESSION_NO,MUSEUM_HOLDER,NOTES,PERCENTAGE_WORKED,RAW_MATERIAL_HARDNESS,RAW_MATERIAL_TEXTURE,RAW_MATERIAL_TYPE,SITENAME,SITE_SUBDIV,TA,TB,THICKNESS,THICKNESS_DIV_BREADTH,TM,WEIGHT
9103.0,54.8,0.76,71.8,1943,HANDAXE,FLAKE,80.2,85.3,0.6,CORTICAL,UNWORKED,330.5,COMPLETE,FRESH,C5,AFRICA,25,40,ABRADED,SOUTH AFRICA,1964,FRESH,IRREGULAR,4632.0,287.5,29.2,0.03,48.9,DEACON,374,0.01,50.1,85.1,0.35,141.9,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,ROUGH HANDAXE MADE ON WATER ROLLED PEBBLE; CORTEX STRUCK; EXTENSIVE LATERAL EDGE DAMAGE EITHER SIDE OF TIP AND ALONG UPPER MARGINS,47,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,23.9,48.7,49.1,0.57,39.5,524
13510.8,68.3,0.88,76.9,1944,HANDAXE,UNCLEAR,93.9,97.8,0.53,NON-CORTICAL,COMPLETELY WORKED,422.9,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,0,0,NONE,SOUTH AFRICA,1964,STAINED,LINEAR,5401.6,398.0,125.6,0.01,34.4,DEACON,89,0.03,85.6,95.9,0.47,181.55,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,WELL SHAPED HANDAXE,100,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,26.6,27.3,37.5,0.38,34.4,708
15081.4,63.1,0.6,104.9,1945,HANDAXE,UNCLEAR,107.0,117.8,0.64,NON-CORTICAL,PARTIALLY WORKED,431.4,COMPLETE,FRESH,C5,AFRICA,0,0,NONE,SOUTH AFRICA,1964,FRESH,IRREGULAR,9000.6,402.9,74.5,0.04,65.2,DEACON,476,0.01,57.0,115.5,0.31,181.67,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,HANDAXE ROUGHOUT WITH NOTCH ADJACENT TO TIP,89,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,36.8,56.8,67.9,0.57,61.6,1212
7492.9,42.8,0.57,74.6,1946,HANDAXE,FLAKE,72.6,79.2,0.59,PARTIALLY CORTICAL,PARTIALLY WORKED,312.9,COMPLETE,FRESH,C5,AFRICA,15,15,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,5810.3,301.0,39.7,0.01,57.1,DEACON,659,0.02,53.3,79.0,0.4,132.12,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,ROUGH HANDAXE MADE ON FLAKE FROM WATER ROLLED PEBBLE; CORTEX STRUCK,75,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,29.4,53.9,57.9,0.73,51.7,589
7252.3,45.4,0.89,51.0,1947,HANDAXE,UNCLEAR,73.2,75.9,0.52,NON-CORTICAL,PARTIALLY WORKED,336.9,COMPLETE,FRESH,C5,AFRICA,0,0,NONE,SOUTH AFRICA,1964,FRESH,IRREGULAR,4067.1,302.0,55.6,0.23,42.6,DEACON,586,0.13,75.1,73.2,0.51,145.44,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,ROUGH HANDAXE WITH IRREGULAR DIAGONAL BUTT; BLUNT EDGES,68,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,26.9,32.5,44.2,0.58,38.7,396
5524.2,34.1,0.58,58.3,1948,PICK,COBBLE,55.4,69.0,0.57,CORTICAL,UNWORKED,272.9,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,60,60,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,5086.7,273.9,35.3,0.04,64.9,DEACON,594,0.01,40.1,68.8,0.33,120.69,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED PEBBLE,54,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,25.4,60.4,65.7,0.95,49.6,446
7435.6,48.5,0.68,70.5,1949,HANDAXE,FLAKE,76.2,85.1,0.67,PARTIALLY CORTICAL,PARTIALLY WORKED,301.9,COMPLETE,FRESH,C5,AFRICA,10,10,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,4064.3,279.3,22.3,0.03,44.7,DEACON,713,0.01,50.7,85.1,0.4,126.72,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED PEBBLE; REMNANT PLATFORM AND BULB ON BUTT,75,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,25.2,44.2,46.1,0.54,37.2,408
6092.8,46.5,0.63,73.0,1950,HANDAXE,FLAKE,76.1,78.5,0.78,PARTIALLY CORTICAL,PARTIALLY WORKED,267.5,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,5,5,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,3255.7,243.5,25.8,0.02,36.6,DEACON,131,0.01,41.5,77.9,0.41,100.35,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED PEBBLE; VERY ROUGH BIFACIAL WORKING; HEAVY LATERAL EDGE DAMAGE ON UPPER RIGHT HAND EDGE,59,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,26.2,35.5,36.8,0.46,33.7,357
6932.0,51.4,0.86,59.4,1951,HANDAXE,FLAKE,77.6,77.8,0.64,NON-CORTICAL,PARTIALLY WORKED,283.7,COMPLETE,FRESH,C5,AFRICA,0,10,ABRADED,SOUTH AFRICA,1964,STAINED,LINEAR,3495.3,246.4,39.7,0.01,39.1,DEACON,671,0.01,60.6,77.6,0.5,120.68,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED PEBBLE; FLAT ANGULAR BUTT,84,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,25.6,35.6,39.5,0.5,36.8,346
6967.9,47.5,0.58,81.6,1952,HANDAXE,COBBLE,85.1,95.8,0.87,CORTICAL,UNWORKED,280.5,COMPLETE,LIGHTLY ABRADED,C5,AFRICA,35,20,ABRADED,SOUTH AFRICA,1964,STAINED,IRREGULAR,4079.9,243.7,32.4,0.01,49.7,DEACON,282,0.03,37.8,92.0,0.34,109.74,,UNCLEAR,ALBANY; GRAHAMSTOWN; SOUTH AFRICA,MADE ON WATER ROLLED PEBBLE; HEAVY LATERAL EDGE DAMAGE ADJACENT TO TIP,57,TOUGH,FINE,QUARTZITE,AMANZI SPRINGS,AREA2,25.2,48.3,50.4,0.52,45.7,500
